SUB_DIST_C,DISTRICT,STATE,TYPE,NAME,CEN_2001,x,y
Nasirabad,Ajmer,Rajasthan,village,KHAPARI,"0811900611092153",74.6578629228,26.3096119611
Peesangan,Ajmer,Rajasthan,village,ARJUNPURA KHALSA,"0811900608091695",74.5389383787,26.3009414243
Ajmer,Ajmer,Rajasthan,village,NAHARPURA,"0811900607091631",74.5901710255,26.3147563012
Nasirabad,Ajmer,Rajasthan,village,NEPOLI,"0811900611092114",74.9485176441,26.2765913744
Peesangan,Ajmer,Rajasthan,village,KESARPURA,"0811900608091694",74.5622887875,26.3033865166
Peesangan,Ajmer,Rajasthan,village,JETHANA,"0811900608091690",74.4633889571,26.2843627238
Peesangan,Ajmer,Rajasthan,village,NAGELAV,"0811900608091683",74.3993299392,26.2954996371
Peesangan,Ajmer,Rajasthan,village,KALESARA,"0811900608091660",74.4164734550,26.3424762845
Peesangan,Ajmer,Rajasthan,village,MEWARIYA,"0811900608091669",74.3324534368,26.3417328444
Ajmer,Ajmer,Rajasthan,village,HATUNDI,"0811900607091634",74.6439750067,26.3566031747
Peesangan,Ajmer,Rajasthan,village,NATHA THALA,"0811900608091655",74.4970623785,26.3591065049
Nasirabad,Ajmer,Rajasthan,village,MODI,"0811900611092125",74.7919439312,26.3667060804
Kishangarh,Ajmer,Rajasthan,village,MOTI,"0811900606091541",75.1205457404,26.3813004184
Masuda,Ajmer,Rajasthan,village,KESARPURA,"0811900610091946",74.4470682937,26.1605340417
Sarwar,Ajmer,Rajasthan,village,BARALA,"0811900613092315",74.9190963540,26.1808692462
Masuda,Ajmer,Rajasthan,village,DAULATPURA,"0811900610092053",74.5938656678,26.1716202175
Masuda,Ajmer,Rajasthan,village,SARNIYA,"0811900610091956",74.4714585628,26.1721630646
Kishangarh,Ajmer,Rajasthan,village,SALEMABAD,"0811900606091425",74.8070651355,26.7194882070
Kishangarh,Ajmer,Rajasthan,village,MOKHAMPURA,"0811900606091412",74.6845738941,26.7295819213
Kishangarh,Ajmer,Rajasthan,village,RODAWAS,"0811900606091417",74.7547705214,26.7177890808
Gudha Malani,Barmer,Rajasthan,village,KHUME KI BERI,"0811500581087714",71.4154135289,25.3098619790
Gudha Malani,Barmer,Rajasthan,village,RAWLI NADI,"0811500581087952",71.7280619839,25.3065866872
Chohtan,Barmer,Rajasthan,village,ROHILA,"0811500584088967",71.2633070446,25.1141218961
Gudha Malani,Barmer,Rajasthan,village,KOTHALA,"0811500581088030",71.5318444073,25.1290771120
Chohtan,Barmer,Rajasthan,village,DHANONIYON KA TALA,"0811500584088894",71.0750319750,25.2589076316
Peesangan,Ajmer,Rajasthan,village,LALI KHERA,"0811900608091658",74.4655981547,26.3162111546
Beawar,Ajmer,Rajasthan,village,GOBINDPURA,"0811900609091757",74.2925003728,26.0919358610
Beawar,Ajmer,Rajasthan,village,BARIYA SHYAMA,"0811900609091752",74.2669237299,26.0898549186
Kishangarh,Ajmer,Rajasthan,village,RUPANGARH,"0811900606091432",74.8590101093,26.7983516497
